"title,""description"""
"Fishing Western Australia Series 13 Episode 6 Preview - Perth Squid,""This episodes airs at 4.30pm on Sunday December 23 on Channel 7 and GWN7."""
"Fishing Western Australia Series 13 Episode 5 Preview,""This episodes airs, along with episode 4 at 4.00pm on Sunday December 16, 2012 on Channel 7 and GWN7."","""""
"Sambo Rocks Fishing Western Australia Series 13 Episode 4 Preview - Sambo Rocks,"""""
"Fishing Western Australia Season 13 Episode 3 Preview - Onslow Part 2,""Still up in Onslow, Harry and Ryan go looking for some Tuna,"""""
"This episode airs Sunday December 2, 2012 on Channel 7 and GWN7 throughout WA. It can also be watched in full at www.fishingwa.com from December 3, 2012 onwards."","""""
"Fishing Western Australia Season 13 Episode 2 Preview - Onslow Part 1,""Ryan and Harry head up to Onslow and go trolling for some mackies.,"""""
"This episode airs Sunday November 25, 2012 on Channel 7 and GWN7 throughout WA. It can also be watched in full at www.fishingwa.com from November 26, 2012 onwards."","""""
"Fishing Western Australia Series 13 Episode 1 Part 2 - Kalbarri,""This is part 2 of the opening episode of series 13 of Fishing Western Australia. To watch more full episode head over to www.fishingwa.com,"""""
"Part 1 can be found at http://youtu.be/uKWuDGrOMAo"","""""
"Fishing Western Australia Series 13 Episode 1 Part 1 - Kalbarri,""This is a early preview of the first half of episode 1 of series 13. Tune into Channel 7 or GWN7 at 4.30pm on Sunday November 18, 2012 or return to our Youtube channel Sunday evening to watch the second half of the episode. Harry and Ryan head up to Kalbarri to kick off the new season of Fishing Western Australia.,"""""
"Part 2 of this episode can be found at http://youtu.be/-_x1AiRpUaI.,"""""
"Head over to www.fishingwa.com for more full episodes."","""""
"Fishing Western Australia Season 13 Episode 1 Preview -  Kalbarri,""Harry and Ryan head up to Kalbarri to kick off the new season of Fishing Western Australia.,"""""
"Season 13 starts on Channel 7 and GWN7 at 4.30pm on Sunday November 18, 2012"","""""
"Fishing Western Australia Series 13 Opener,""Fishing Western Australia returns for the Summer to Channel 7 Perth and GWN7 on Sunday November 18 2012 at 4.30pm with brand new episodes."""
"From the Fishing WA Archives Episode 6 - Dolphin Fish,""In this episode of From the Fishing WA Archives we head back to season 4 and join Ryan and Steve fishing for Dolphin Fish using the FADs out the back of Rottnest Island. ,"""""
"For more information on FADs and their locations head to http://www.fishingwa.com/content.php?id=32&section=FADs&firsttierid=1"","""""
"Barrack St Jetty Bream Fishing Western Australia,""Another look back into the Fishing WA Archives, this time to 2004 and a look at fishing right in the heart of Perth! Steve and Ira head down to the Barrack Street Jetty on the Swan River and go hunting for some Bream.,"""""
"Subscribe to our Youtube channel for all the latest Fishing WA videos and follow us on Facebook (http://www.facebook.com/THEfishingWA) or Twitter (http://www.twitter.com/Fishing_WA) for all the latest news."","""""
"Extreme Tackle - FWA Series Rods in action!,""""""After a decade in the TV business the decision to put the Fishing WA name to a rod was not taken lightly. When it came to developing our own range we knew exactly what was required to make a great rod. We have worked extremely closely with the factory to make a high quality rod first and foremost and the result has exceeded our expectations"""" - Harry Baumann, Director and Presenter, Fishing WA,"""""
"For more on the """"FWA Series"""" Rods and other products from Extreme Tackle visit http://www.extremetackle.com.au"","""""
"From the Fishing WA Archives Episode 4 - Coral Bay,""Join the guys up in Coral Bay for some awesome game fishing with the Coral Bay Ocean Game Fishing Charters. Watch Steve reel in a MASSIVE Marlin.,"""""
"If you want to catch more classic episodes of Fishing WA check out the full range of Fishing WA DVD's at our online store - http://www.fwamedia.com.au/onlinestore"","""""
"Best of Fishing WA Episode 18 Preview - Rottnest Islands,""Well its all about Rottnest Islands, one of Western Australia's favorite fishing grounds. In this show Nick and Jacko get stuck into Salmon, Samson Fish and Mackerel.,"""""
"This, the final episode of this season airs Sunday April 8th at 4.30pm on Channel 7 and GWN7. If you missed the episode or want to see more Fishing WA DVD's of all 11 series are available at http://www.fwamedia.com.au/onlinestore.php"","""""
"Best of Fishing WA Episode 17 Preview - Mue Stones Tailor,""Harry and Steve head out to Mue Stones to catch Steve's favorite fish ( tailor )  . Now this can be a little dangerous but there are some great tailor . The in the second half of the show we visit Augusta where Nick and Jacko got into Salmon off the rocks.,"""""
"This episode airs at 4.15pm on Channel 7 and GWN7 on Sunday April 1st 2012.,"""""
"If you missed the episode you can buy the Fishing WA DVD's through our online store at http://www.fwamedia.com.au/onlinestore.php"","""""
"Kalbarri Lucky Bay Tailor ,"" Best of Fishing WA Episode 16 Preview - Lucky Bay Tailor"""
"In todays show Steve and Ryan are in Luck Bay catching some great tailor off the beach. Then they head out to the Abrolhos Islands in search and to try some new Dhufish methods. T,"""""
"Best of Fishing WA Episode 15 Preview - Warren River Redfin,""This week, for a bit of a change of pace, the guys head down to the Warren River, near Pemberton in Western Australia's Southwest, to kayak down the river and catch some Redfin.,"""""
"This episode airs Sunday 18/03/2012 at the special time of 4.15pm."","""""
"Best of Fishing WA Episode 14 Preview - Kalbarri Tailor,""You think you've seen it all before. We've seen some pretty special fish come from that river mouth in Kalbarri and we reckoned we've almost seen the best of it. Sure, there are always going to be memorable captures but I'd seen that place produce some awesome tailor fishing and we couldn't imagine much better. Or so we thought.,"""""
"This episode airs Sunday March 11 2012 at the special time of 2pm on 7 and GWN7"","""""
"Best of Fishing WA Episode 13 Preview - Ord River Barramundi,""Jacko and Nick head off to the Ord River and catch up with old mate Ben Palmer and get stuck into some awesome Barramundi.,"""""
"This episode airs Sunday March 4th 2012 at 4.30pm on Channel 7 and GWN7."","""""
"Best of Fishing WA Episode 12 Preview - Waego Beach (Kalbarri),""Waego Beach is certainly one of the teams' favourite spots to fish. When Nick and Lisa arrive they are in for a treat as the conditions are great with a small swell and light winds, making it possible to fish off the reef for snapper and tuna. They decide to find a sandy gutter on the beach at a spot nicknamed the lagoon, to chase tailor and mulloway.,"""""
"This episode airs Sunday February 26 2012 on Channel 7 and GWN7 in WA now back at the regular time of 4.30pm."","""""
"Best of Fishing WA Episode 11 Preview - Mackerel Islands Trolling,""THIS EPISODE WILL BE SHOWN AT THE SPECIAL TIME OF 12PM SUNDAY 19/2/2012,"""""
"Thevenard Islands is located approximately 11 nautical miles NW off Onslow. This is where our journey started as we had the new FWA Coraline boat fully packed and ready to head off to fish the Mackerel Islands. The focus on this trip was to target mackerel and the place doesn't get its name for lack of these species so we were quietly confident."","""""
"From the Fishing WA Archives Episode 3 - Exmouth Game Fishing,""A look back to 2001 where the guys make their way to Exmouth and head out on a trip with Exmouth Game Fishing Charters to catch some Spanish Mackerel."""
"From the Fishing WA Archives Episode 2 - Broome,""Another clip from the first season of Fishing Western Australia. This time the guys head up to Broome and go for a ride with Broome Fishing and Dive Charters. They end up with a few unexpected catches!"""
"From the Fishing WA Archives Episode 1,""This is a segment from the first ever episode of Fishing Western Australia. In this clip we headed to Mandurah for some Tailor fishing. Over 10 years after being filmed the info and advice is still relevant today!"""
"Best of Fishing WA Episode 9 Preview - Dampier Archipelago,""Travelling throughout the Dampier archipelago was one of, if not the most amazing adventures I have ever been brave enough to embark on. The extra large coral trout and giant trevally Jacko and I came across were located in 8 - 12 meters of water amongst a series of jagged coral pinnacles and drop offs as the high tide began to recede. We located the area after a lot of exploratory trolling."","""""
"Best of Fishing WA Episode 8 Preview - Mackerel Islands Giant Trevally,""Nick and Jacko visit the Rosily Cay off the Mackerel Islands in search of the big Giant Trevally's and some Mackerel along the way.,"""""
"Airing Sunday January 15 2012 on 7 and GWN7,"""""
"Check out the fact sheet for this episode at http://bit.ly/wB5f4q"","""""
"Best of Fishing WA Episode 7 Preview - Perth Sambo,""Large schools of Samson fish congregate off Perth each year and between November and February Bluejuice charters can take you out amongst the action and put you onto some of these incredible fish. Jigging for them is fun, exciting and possibly one of the most incredible fights you will experience because these fish are one of the hardest pulling in the sea.,"""""
"Happy Fishing!,"""""
"Episode airs Sunday 8/1/2012 at 4.30pm on Channel 7 and GWN7,"""""
"Episode Factsheet - http://bit.ly/AhncSo"","""""
"Best of Fishing WA Episode 6 Preview - Perth/Rottnest,""Steve and Ryan go fishing off Perth and Rottnest and get straight into the action with some great catches of Samson fish, Yellowtail kings and tailor.,"""""
"Airing Sunday January 1st 2012 on Channel 7 and GWN7 in WA"","""""
"Best of Fishing WA Episode 5 Preview - Deep sea Marlin,""Chasing giant bill fish off the coast of Exmouth is one of the most exhilarating forms of fishing you will ever experience in your entire life and is something everyone should at least try their hand at once.,"""""
"See the full episode on 7 and GWN7 sunday at 4.30,"""""
"For more details on this episode check out the fact sheet at http://bit.ly/t5fv8c"","""""
"Best of Fishing Western Australia Episode 3 Preview,""The Best of Fishing Western Australia series sit back and enjoy some marvelous Giant Trevally and sailfish action."""
